Hospital Name,Locations,Department,Doctors Count,Patient Count,Admission Date,Discharge Date,Medical Expenses
Wellness Clinic,Lucknow,Cardiology,32,51,2023-12-30,2024-01-12,"$27,223.46 "
Metro Hospital,Kolkata,Gynecology,10,94,2023-01-18,2023-02-02,"$35,570.84 "
Healing Touch,Ahmedabad,Urology,13,75,2023-02-07,2023-02-13,"$26,027.37 "
Sunrise Medical,Mumbai,Urology,23,109,2023-06-23,2023-07-01,"$36,909.89 "
Fortis Care,Pune,Oncology,41,47,2023-03-25,2023-03-29,"$8,519.11 "
Metro Hospital,Chennai,Pediatrics,9,134,2023-05-17,2023-05-31,"$48,873.72 "
Metro Hospital,Hyderabad,General Medicine,49,42,2023-12-28,2024-01-07,"$31,342.58 "
Global Medicare,Ahmedabad,Orthopedics,48,138,2023-01-18,2023-01-26,"$46,741.91 "
Global Medicare,Bangalore,ENT,42,58,2023-09-18,2023-09-19,"$26,614.52 "
Healing Touch,Ahmedabad,Urology,21,50,2023-06-22,2023-06-27,"$10,978.18 "
Global Medicare,Delhi,ENT,21,66,2023-12-29,2024-01-13,"$31,175.27 "
Sunrise Medical,Pune,Orthopedics,31,122,2023-11-10,2023-11-13,"$44,290.86 "
Heritage Hospital,Bangalore,ENT,26,85,2023-09-25,2023-09-29,"$7,502.64 "
Metro Hospital,Lucknow,ENT,31,75,2023-06-06,2023-06-11,"$7,121.37 "
Heritage Hospital,Jaipur,Urology,39,70,2023-07-28,2023-08-04,"$48,241.00 "
City Hospital,Ahmedabad,Neurology,14,91,2023-07-20,2023-08-03,"$33,446.24 "
Fortis Care,Bangalore,ENT,14,62,2023-12-17,2023-12-30,"$13,590.65 "
City Hospital,Chennai,Gynecology,28,84,2023-02-08,2023-02-22,"$20,849.31 "
Green Valley Hospital,Hyderabad,Neurology,35,57,2023-08-09,2023-08-19,"$4,388.33 "
Healing Touch,Pune,Pediatrics,5,41,2023-03-31,2023-04-05,"$23,916.63 "
Heritage Hospital,Bangalore,Urology,29,54,2023-10-22,2023-11-05,"$5,084.11 "
Apollo Health,Ahmedabad,Neurology,28,102,2023-12-13,2023-12-20,"$23,328.90 "
City Hospital,Delhi,Pediatrics,41,27,2023-02-20,2023-03-06,"$33,417.28 "
Healing Touch,Jaipur,Cardiology,6,110,2023-09-21,2023-10-06,"$36,545.43 "
Sunrise Medical,Jaipur,Oncology,19,31,2023-01-08,2023-07-15,"$43,687.01 "
Sunrise Medical,Kolkata,Cardiology,7,50,2023-08-02,2023-08-07,"$13,902.24 "
Apollo Health,Mumbai,Neurology,32,56,2023-01-11,2023-01-26,"$22,456.61 "
Metro Hospital,Chennai,Urology,28,154,2023-09-04,2023-09-19,"$23,012.64 "
Heritage Hospital,Lucknow,Neurology,44,194, 2023-80-18,2023-08-27,"$33,963.65 "
Apollo Health,Hyderabad,Gynecology,40,150,2023-05-01,2023-05-02,"$9,775.99 "
Metro Hospital,Ahmedabad,Urology,38,108,2023-04-08,2023-04-20,"$17,211.57 "
Global Medicare,Ahmedabad,Urology,17,29,2023-01-16,2023-01-25,"$17,999.48 "
Metro Hospital,Hyderabad,Dermatology,43,96,2023-02-04,2023-02-05,"$42,883.43 "
Global Medicare,Delhi,Cardiology,21,151,2023-06-07,2023-06-09,"$2,854.22 "
Sunrise Medical,Jaipur,Neurology,40,88,2023-03-22,2023-03-25,"$8,333.48 "
City Hospital,Ahmedabad,Urology,25,131,2023-06-30,2023-07-02,"$47,678.73 "
Fortis Care,Ahmedabad,Dermatology,9,106,2023-11-14,2023-11-21,"$44,526.27 "
Healing Touch,Pune,General Medicine,48,25,2023-10-16,2023-10-28,"$4,514.63 "
Metro Hospital,Ahmedabad,Gynecology,23,20,2023-04-17,2023-04-22,"$25,418.26 "
Global Medicare,Pune,Orthopedics,6,48,2023-01-18,2023-07-24,"$46,666.48 "
Fortis Care,Hyderabad,ENT,19,152,2023-09-18,2023-09-19,"$39,298.30 "
Sunrise Medical,Delhi,General Medicine,24,43,2023-09-29,2023-10-01,"$45,451.78 "
Global Medicare,Jaipur,Pediatrics,43,133,2023-01-27,2023-02-11,"$24,556.18 "
Green Valley Hospital,Kolkata,Oncology,20,77,2023-03-07,2023-03-18,"$7,146.07 "
Wellness Clinic,Bangalore,Gynecology,28,126,2023-11-29,2023-12-10,"$21,065.59 "
Heritage Hospital,Jaipur,General Medicine,26,169,2023-02-18,2023-02-19,"$41,677.34 "
Healing Touch,Bangalore,Oncology,40,193,2023-11-01,2023-11-15,"$47,625.70 "
Metro Hospital,Lucknow,Neurology,42,163,2023-05-19,2023-05-26,"$8,684.16 "
Healing Touch,Bangalore,Urology,14,37,2023-12-09,2023-12-15,"$17,213.05 "
